SMILEScsa,VoltageCSA
CS(=O)(=O)/N=C1\C(C)=CC(=N/S(=O)(=O)C)\c(c12)cccc2,2.684732784
Cc1c(C)c(C)c(C)c(c12)C(=N\S(=O)(=O)C)\C(C)=C(C)/C2=N\S(=O)(=O)C,2.298211174
CS(=O)(=O)\N=C\1C=CC(=N/S(=O)(=O)C)\c(c12)cccc2,2.903947823
CS(=O)(=O)\N=C\1C(Cl)=CC(=N/S(=O)(=O)C)\c(c12)c(Cl)c(Cl)c(Cl)c2Cl,2.889678164
CS(=O)(=O)\N=C\1C(Cl)=C(Cl)C(=N/S(=O)(=O)C)\c(c12)cc(Cl)c(Cl)c2Cl,2.89857085
CS(=O)(=O)\N=C\1C(Cl)=C(Cl)C(=N/S(=O)(=O)C)\c(c12)c(Cl)cc(Cl)c2Cl,2.87582212
CS(=O)(=O)\N=C\1C=CC(=N/S(=O)(=O)C)\c(c12)c(Cl)c(Cl)c(Cl)c2Cl,2.84376709
CS(=O)(=O)\N=C\1C(Cl)=CC(=N/S(=O)(=O)C)\c(c12)cc(Cl)c(Cl)c2Cl,2.906636309
Clc1c(Cl)c(Cl)cc(c12)/C(=N/S(=O)(=O)C)C(Cl)=CC\2=N/S(=O)(=O)C,2.915115381
CS(=O)(=O)\N=C\1C(Cl)=CC(=N/S(=O)(=O)C)\c(c12)c(Cl)cc(Cl)c2Cl,2.8752017
CS(=O)(=O)\N=C\1C(Cl)=CC(=N/S(=O)(=O)C)\c(c12)c(Cl)c(Cl)cc2Cl,2.868790694
CS(=O)(=O)\N=C\1C(Cl)=C(Cl)C(=N/S(=O)(=O)C)\c(c12)ccc(Cl)c2Cl,2.865274981
CS(=O)(=O)\N=C\1C(Cl)=C(Cl)C(=N/S(=O)(=O)C)\c(c12)cc(Cl)cc2Cl,2.882233125
CS(=O)(=O)\N=C\1C(Cl)=C(Cl)C(=N/S(=O)(=O)C)\c(c12)c(Cl)ccc2Cl,2.830945079
CS(=O)(=O)\N=C\1C(Cl)=C(Cl)C(=N/S(=O)(=O)C)\c(c12)cc(Cl)c(Cl)c2,2.909324795
CS(=O)(=O)\N=C\1C=CC(=N/S(=O)(=O)C)\c(c12)cc(Cl)c(Cl)c2Cl,2.86837708
CS(=O)(=O)\N=C\1C=CC(=N/S(=O)(=O)C)\c(c12)c(Cl)cc(Cl)c2Cl,2.822052393
CS(=O)(=O)\N=C\1C(Cl)=CC(=N/S(=O)(=O)C)\c(c12)ccc(Cl)c2Cl,2.86961792
Clc1c(Cl)ccc(c12)/C(=N/S(=O)(=O)C)C(Cl)=CC\2=N/S(=O)(=O)C,2.877062959
CS(=O)(=O)\N=C\1C(Cl)=CC(=N/S(=O)(=O)C)\c(c12)cc(Cl)cc2Cl,2.885542032
Clc1cc(Cl)cc(c12)/C(=N/S(=O)(=O)C)C(Cl)=CC\2=N/S(=O)(=O)C,2.902706983
CS(=O)(=O)\N=C\1C(Cl)=CC(=N/S(=O)(=O)C)\c(c12)c(Cl)ccc2Cl,2.833426758
CS(=O)(=O)\N=C\1C(Cl)=C(Cl)C(=N/S(=O)(=O)C)\c(c12)cccc2Cl,2.8222592
CS(=O)(=O)\N=C\1C(Cl)=CC(=N/S(=O)(=O)C)\c(c12)cc(Cl)c(Cl)c2,2.919458321
CS(=O)(=O)\N=C\1C(Cl)=C(Cl)C(=N/S(=O)(=O)C)\c(c12)ccc(Cl)c2,2.870445147
CS(=O)(=O)\N=C\1C=CC(=N/S(=O)(=O)C)\c(c12)ccc(Cl)c2Cl,2.833633565
CS(=O)(=O)\N=C\1C=CC(=N/S(=O)(=O)C)\c(c12)cc(Cl)cc2Cl,2.858243555
CS(=O)(=O)\N=C\1C=CC(=N/S(=O)(=O)C)\c(c12)c(Cl)ccc2Cl,2.780484258
CS(=O)(=O)\N=C\1C(Cl)=CC(=N/S(=O)(=O)C)\c(c12)cccc2Cl,2.829704239
Clc1cccc(c12)/C(=N/S(=O)(=O)C)C(Cl)=CC\2=N/S(=O)(=O)C,2.837149278
CS(=O)(=O)\N=C\1C=CC(=N/S(=O)(=O)C)\c(c12)cc(Cl)c(Cl)c2,3.004869463
CS(=O)(=O)\N=C\1C(Cl)=CC(=N/S(=O)(=O)C)\c(c12)ccc(Cl)c2,2.891953037
CS(=O)(=O)\N=C\1C(Cl)=CC(=N/S(=O)(=O)C)\c(c12)cc(Cl)cc2,2.907670342
CS(=O)(=O)\N=C\1C(Cl)=C(Cl)C(=N/S(=O)(=O)C)\c(c12)cccc2,2.81729584
CS(=O)(=O)\N=C\1C=CC(=N/S(=O)(=O)C)\c(c12)cccc2Cl,2.798890049
CS(=O)(=O)\N=C\1C=CC(=N/S(=O)(=O)C)\c(c12)ccc(Cl)c2,2.962474102
CS(=O)(=O)\N=C\1C(Cl)=CC(=N/S(=O)(=O)C)\c(c12)cccc2,2.829911045
CS(=O)(=O)\N=C\1C(Cl)=C(Cl)C(=N/S(=O)(=O)C)\c(c12)c(Cl)c(Cl)c(Cl)c2Cl,2.891539424
N#Cc1c(C#N)c(C#N)c(C#N)c(c12)/C(=N/S(=O)(=O)C)C=C(C#N)/C2=N\S(=O)(=O)C,3.618878377
N#Cc1c(C#N)c(C#N)cc(c12)C(=N\S(=O)(=O)C)\C(C#N)=C(C#N)/C2=N\S(=O)(=O)C,3.769847224
N#Cc1c(C#N)cc(C#N)c(c12)C(=N\S(=O)(=O)C)\C(C#N)=C(C#N)/C2=N\S(=O)(=O)C,3.745237234
N#Cc1c(C#N)c(C#N)c(C#N)c(c12)/C(=N/S(=O)(=O)C)C=CC\2=N/S(=O)(=O)C,3.418896356
N#Cc1c(C#N)c(C#N)cc(c12)/C(=N/S(=O)(=O)C)C=C(C#N)/C2=N\S(=O)(=O)C,3.511132118
N#Cc1c(C#N)c(C#N)cc(c12)C(=N\S(=O)(=O)C)\C(C#N)=CC\2=N/S(=O)(=O)C,3.533260428
