SMILESquinone,VoltageQuinone
Cc1cc(C)c(c2c13)c(=O)c(=O)c4c2c(c(=O)c3=O)c(C)cc4C,2.529130668
Clc1c(Cl)c(Cl)c(Cl)c(c12)C(=O)c3c(C2=O)cccc3,2.536410261
c12c3c4c(=O)c(=O)c1c(N)cc(N)c2c(=O)c(=O)c3c(N)cc4N,2.53660183
Cc1cccc(c12)C(=O)C(=O)C=C2,2.540050058
NC1=CC(=O)C=CC1=O,2.540816331
c12c3c4c(=O)c(=O)c1cc(N)cc2c(=O)c(=O)c3cc(c4)N,2.541582604
c1cccc(cc2)c1c(c2c34)ccc3C(=O)C=CC4=O,2.54426456
c1cccc(c12)C(=O)C=CC2=O,2.552310427
c1cccc(cc2)c1c(c2c34)ccc4C=CC(=O)C3=O,2.553842973
c1c(Cl)c(Cl)cc(C2=O)c1C(=O)c(c23)c(Cl)c4c(c3Cl)cc(Cl)c(Cl)c4,2.554226109
COC(C1=O)=C(OC)C=CC1=O,2.554226109
COC1=CC=C(C(=O)C1=O)OC,2.554417677
c1c(N)c(N)cc(c2=O)c1c(=O)c(c23)c(=O)c4c(c3=O)cc(N)c(c4)N,2.55518395
c1cccc(c1c23)C(=O)C(=O)c2cc(Cl)cc3,2.55633336
O=c1ccc(=O)c(c1c23)c(OC)c(OC)c3c(OC)c(OC)c4c2c(=O)ccc4=O,2.55633336
O=C1C(=O)C=C(Cl)c(c12)cc3c(c2)cccc3,2.558249043
COC1=C(OC)C(=O)C=CC1=O,2.561888839
CC1=C(C)C(=O)C(=O)C=C1C,2.562846681
Nc1c(N)c(N)c(N)c(c12)c3c(c(=O)ccc3=O)c4c2c(=O)ccc4=O,2.563612954
O=c1c(=O)c(N)cc(cc2N)c1c(c23)c(N)cc4c3c(=O)c(=O)c(c4)N,2.568593728
c1cccc(c12)C=CC(=O)C2=O,2.56955157
CC1=C(C)C=C(C)C(=O)C1=O,2.576639595
c1cccc(c1c23)ccc2C(=O)C=CC3=O,2.586409576
CC1=CC(=O)C(C)=CC1=O,2.596754262
CC1=CC(=O)C=C(C)C1=O,2.599436218
COC(C1=O)=CC(=O)C=C1,2.600010922
c1cccc(c1c23)ccc3C=CC(=O)C2=O,2.602309741
COc1ccc(OC)c(c2=O)c1c(=O)c(c23)c(=O)c4c(c3=O)c(OC)ccc4OC,2.602692878
O=c1ccc(=O)c(c2OC)c1c(OC)c(c23)c(OC)c4c(c3OC)c(=O)ccc4=O,2.602884446
O=c1ccc(=O)c(c(C)c2C)c1c(c23)c(=O)ccc3=O,2.612271291
CC1=C(C)C(=O)C=CC1=O,2.613229132
O=C1C(Cl)=C(Cl)C(=O)c(c12)cc3c(c2)cccc3,2.615911088
Clc1cccc(c12)C(=O)C=CC2=O,2.616294224
Nc1ccc(N)c(c12)cc=3c(c2)=C(N)C(=O)C(=O)C3N,2.618018338
O=C1C(N)=CC=CC1=O,2.619550884
O=c1c(N)c(N)c(=O)c(c12)c(=O)c3c(c2=O)c(N)ccc3N,2.620125589
c1cccc(c2C)c1c(C)c(c23)ccc4c3C=CC(=O)C4=O,2.621849704
O=c1ccc(=O)c(c2C)c1c(C)c(c23)c(C)c4c(c3C)c(=O)ccc4=O,2.628554593
O=c1c(=O)c(OC)cc2ccc(c3c12)cc(c(=O)c3=O)OC,2.631811253
Nc1ccc(N)c(c(=O)c2=O)c1c(c23)c(=O)c(=O)c4c3c(N)ccc4N,2.634110072
O=c1ccc(=O)c2c(OC)c(OC)c(c3c12)c(=O)ccc3=O,2.634876345
