SMILESquinone,VoltageQuinone
Cc1ccc(C)c(c12)c(=O)c(=O)c3c4c(c(=O)c(c23)=O)c(C)ccc4C,2.851731611
c1cccc(c12)C(Cl)=CC(=O)C2=O,2.713227762
COc1ccc(OC)c(c12)C(=O)c3c(C2=O)cccc3,2.205571883
O=c1ccc(=O)c(c12)cc(Cl)c(=O)c2=O,3.570112571
Clc1c(Cl)c(=O)c(=O)c(c12)cc(=O)c(=O)c2Cl,3.641950667
Clc1ccc(Cl)c(c1c23)c(=O)c(=O)c3c(=O)c(=O)c4c2c(Cl)ccc4Cl,3.093299182
c1cc(N)cc(c1c23)C(=O)C(=O)c2cc(N)cc3,2.153656886
O=c1ccc(=O)c(cc2Cl)c1c(c2c34)cc(Cl)c3c(=O)ccc4=O,3.030464794
Nc1cccc(c12)C(=O)c3c(C2=O)ccc(c3)N,1.969559792
Cc1ccc(C)c2C(=O)C(=O)c(c3c12)c(C)ccc3C,2.01151324
Cc(c1)ccc(c12)C(=O)c3c(C2=O)ccc(C)c3,2.139480835
O=c1c(N)c(N)c(=O)c(c12)c(=O)c3c(c2=O)c(N)ccc3N,2.620125589
O=c1c(=O)c(Cl)cc(c1c23)ccc3cc(Cl)c(=O)c2=O,2.992342711
Cc1cc(C)c(c2c13)c(=O)c(=O)c4c2c(c(=O)c3=O)c(C)cc4C,2.529130668
c1cccc(c2=O)c1c(=O)c(c23)c(=O)c4c(c3=O)cc(Cl)c(Cl)c4,3.108049937
Cc(c1)c(C)cc(C2=O)c1C(=O)c(c23)c(C)ccc3C,2.046187094
c12c3c4c(=O)c(=O)c1c(OC)ccc2ccc3ccc4OC,2.219364798
O=c1ccc(=O)c(c(OC)c2OC)c1c3ccc(c4c23)c(=O)ccc4=O,2.767633146
Clc1c(=O)c(=O)c(Cl)c(c12)c(Cl)c3c(c2Cl)c(=O)ccc3=O,3.645398895
O=c1ccc(=O)c(c12)cc(N)c(=O)c2=O,3.169543347
Clc1cccc(c12)C(=O)c3c(C2=O)ccc(Cl)c3,2.47070235
O=c1c(=O)c(Cl)c(Cl)c(c12)c(Cl)c3c(c2Cl)c(=O)ccc3=O,3.196554472
O=c1c(Cl)cc(=O)c(c12)cc(Cl)c(=O)c2=O,3.657467695
Cc1c(C)ccc(c12)C(=O)c3c(C2=O)cccc3,2.157488251
