SMILEScsa,VoltageCSA
CS(=O)(=O)/N=C(C1F)/C(=N\S(=O)(=O)C)C(F)=c(c2F)c=1cc(c23)c(F)c(F)c(F)c3F,3.532226395
COc1cc(OC)cc2/C(=N/S(=O)(=O)C)C(=N\S(=O)(=O)C)\c(c3c12)cccc3,2.523423605
CS(=O)(=O)\N=C(\C1F)/C(=N/S(=O)(=O)C)C=c2c=1cc(F)c(c23)cc(F)c(F)c3F,3.204024257
Cc1c(C)cc(C)c(c12)c3c(cc2C)C(C)=C(C)/C(=N\S(=O)(=O)C)C\3=N/S(=O)(=O)C,2.434910363
CS(=O)(=O)/N=C(\C1N)/C(=N\S(=O)(=O)C)C=c(c=1c23)cc(N)c2ccc(N)c3N,2.385897189
COc(c1)ccc(c1c23)c(OC)cc2/C(=N/S(=O)(=O)C)C=C(OC)C\3=N/S(=O)(=O)C,2.485164377
CS(=O)(=O)\N=C(C=C1Cl)\C(=N/S(=O)(=O)C)\c(c1c23)c(Cl)c(Cl)c2cc(Cl)c(Cl)c3Cl,3.011280469
Cc(c1)ccc(cc2C)c1c(c23)C(C)=CC(=N/S(=O)(=O)C)\C\3=N/S(=O)(=O)C,2.657227501
N#Cc1c(C#N)cc(C#N)c(c12)cc(C#N)c3c2C=C(C#N)/C(=N\S(=O)(=O)C)C\3=N/S(=O)(=O)C,3.610606111
CS(=O)(=O)\N=C(C=C1)\C(=N\S(=O)(=O)C)\c(c12)ccc(N)c2N,2.420847512
CS(=O)(=O)/N=C\1C(=N\S(=O)(=O)C)\C(C)=Cc(c12)ccc(C)c2,2.494470675
CS(=O)(=O)\N=C\1/C(=N/S(=O)(=O)C)C=Cc2cc(F)c(c3c12)cccc3,2.834047178
Cc(c1)c(C)c(C)c(c1c23)ccc3=C(C)/C(=N/S(=O)(=O)C)C(\C=2C)=N\S(=O)(=O)C,2.823086426
COc1cccc(c12)c3c(cccc3)/C(=N\S(=O)(=O)C)C\2=N/S(=O)(=O)C,2.453522961
Cc(c1)c(C)cc(c2C)c1cc(c23)C(=N\S(=O)(=O)C)\C(C)=CC\3=N/S(=O)(=O)C,2.434289943
