Voltage,SMILES
0.65,O=C(C1=CC=C(C=C1)C#CC2=CC=C(C=C2)C(O[Li])=O)O[Li]
2.1,O=C(C(O[Li])=C(C1=O)O[Li])C(O[Li])=C1O[Li]
2.1,OC1=C(C(C(O[Li])=C(C1=O)O[Li])=O)O
2.1,O=C1C(C(C(O[Li])=C(C1=O)O[Li])=O)=O
1.7,O=C1C(=O)C(=O)C(=O)C(=O)C1=O
2,C1=CC2=C(C=C1)N=C1C(=N2)C2=NC3=C(C=CC=C3)N=C2C2=NC3=C(C=CC=C3)N=C12
2.4,N#CC1=NC2=C(N=C1C#N)C1=C(N=C(C#N)C(C#N)=N1)C1=C2N=C(C#N)C(C#N)=N1
2.4,O=C(O)C1=CC=C(N2C(=O)C3=CC=C4C5=CC=C6C(=O)N(C7=CC=C(C(=O)O)C=C7)C(=O)C7=C6C5=C(C=C7)C5=CC=C(C2=O)C3=C45)C=C1
1.4,O=C(C1=CC=C(N(N(C2=CC=CC=C2)[Li])[Li])C=C1)O[Li]
1.4,O=C(C1=CC=C(NNC2=CC=CC=C2)C=C1)O[Li]
1.4,O=C(C1=CC=C(/N=N/C2=CC=CC=C2)C=C1)O[Li]
2.5,COC1=C(O[Li])C(O[Li])=C(OC)C(O[Li])=C1O[Li]
2.5,COC1=C(O)C(O[Li])=C(OC)C(O)=C1O[Li]
2.5,COC1=C(C(C(OC)=C(C1=O)O[Li])=O)O[Li]
2.6,O=C(O[Li])C1=CC(O)=C(C(O[Li])=O)C=C1O
2.6,O=C(C1=CC(C(C(O[Li])=O)=CC1=O)=O)O[Li]
2.6,O=C(C1=CC(O[Li])=C(C=C1O[Li])C(O[Li])=O)O[Li]
2.85,O=C(C1=CC=C(C(O)=C1O)C(O)=O)O
2.85,O=C(C1=CC=C(C(O)=C1O)C(O[Li])=O)O[Li]
2.85,O=C(C1=CC=C(C(C1=O)=O)C(O[Li])=O)O[Li]
2.85,O=C(C1=CC=C(C(O[Li])=C1O[Li])C(O[Li])=O)O[Li]
3.1,O=S(O)(C1=CC(O)=C(S(=O)(O)=O)C=C1O)=O
3.1,O=S(C1=CC(C(S(=O)(O[Li])=O)=CC1=O)=O)(O[Li])=O
3.1,O=S(O)(C1=CC(O)=C(S(=O)(O)=O)C=C1O)=O
3.1,O=S(C1=CC(O[Li])=C(S(=O)(O[Li])=O)C=C1O[Li])(O[Li])=O
3.25,O=C(O)CC1=CC(O)=C(C=C1O)CC(O)=O
3.25,O=C(O[Li])CC1=CC(C(CC(O[Li])=O)=CC1=O)=O
3.25,O=C(O[Li])CC1=CC(O)=C(C=C1O)CC(O[Li])=O
3.25,O=C(O[Li])CC1=CC(O[Li])=C(C=C1O[Li])CC(O[Li])=O
