SMILES,Voltage
C(c1c([H])c2c(c([H])c1C([H])([H])[H])C(=O)C(=O)c1c-2c([H])c([H])c([H])c1[H])([H])([H])[H],2.310359719
C(S(=O)(=O)N=C1c2c(N([H])[H])c([H])c(N([H])[H])c([H])c2C(=NS(=O)(=O)C([H])([H])[H])c2c1c(N([H])[H])c([H])c(N([H])[H])c2[H])([H])([H])[H],2.01654053
O=c1c(=O)c(=O)c(O[H])c1O[H],1.7
C(c1c([H])c(C([H])([H])[H])c2c3c1c(=O)c(=O)c1c-3c(c(=O)c2=O)c(C([H])([H])[H])c([H])c1C([H])([H])[H])([H])([H])[H],2.529130668
[Li]ON=C1C([H])=C([H])C(=NO[Li])C([H])=C1[H],3.1
C(S(=O)(=O)/N=C1C(=N\S(=O)(=O)C([H])([H])[H])\C([H])=C([H])c2c\1c1c(c([H])c2Cl)c(Cl)c([H])c([H])c1Cl)([H])([H])[H],2.947584024
C(S(=O)(=O)/N=C1C(=N\S(=O)(=O)C([H])([H])[H])\C(Cl)=C(Cl)c2c\1c(Cl)c1c(c2Cl)c([H])c([H])c(Cl)c1[H])([H])([H])[H],2.812952901
C(S(=O)(=O)/N=C1\C(C([H])([H])[H])=c2c(c([H])c3c(c2[H])c([H])c(C([H])([H])[H])c([H])c3C([H])([H])[H])=C(C([H])([H])[H])\C1=N\S(=O)(=O)C([H])([H])[H])([H])([H])[H],3.074770107
O=C(C([n+]1c([H])c([H])c(-c2c([H])c([H])c(-c3c([H])c([H])[n+](C(C(O[Li])=O)([H])[H])c([H])c3[H])c([H])c2[H])c([H])c1[H])([H])[H])O[Li],2.2
c1([H])c([H])c([H])c([H])c2c(Cl)c3c(c([H])c12)C(=O)c1c(c([H])c([H])c([H])c1[H])C3=O,2.202123655
O=C1C(C([H])([H])[H])=C([H])C(=O)c2c1c([H])c([H])c([H])c2[H],2.446564749
C(S(=O)(=O)/N=C1\C(F)=C([H])c2c(c3c(c(F)c2[H])c(F)c([H])c(F)c3F)\C1=N\S(=O)(=O)C([H])([H])[H])([H])([H])[H],2.903327403
c1([H])c([H])c([H])c([H])c2c(=O)c3c(=O)c4c(c(=O)c=3c(=O)c12)c([H])c(Cl)c(Cl)c4[H],3.108049937
C(c1c([H])c2c(c([H])c1C([H])([H])[H])C([H])=C([H])C(=O)C2=O)([H])([H])[H],2.438710451
O(c1c(O[Li])c(SC([H])([H])[H])c(O[H])c(O[Li])c1C([H])([H])[H])[H],2.0
O(C1=C(O[Li])C(O[Li])=C(O[H])C1=O)[H],1.7
C(N1C(O[H])=c2c([H])c([H])c3c4c(C#N)c([H])c5c6c(c([H])c([H])c(c46)c4c3c2c(c([H])c4C#N)=C1O[H])=C(O[H])N(C([H])([H])[H])C=5O[H])([H])([H])[H],2.7
C(c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c2c1c(C([H])([H])[H])c([H])c1c2C(C([H])([H])[H])=C(C([H])([H])[H])C(=N\S(=O)(=O)C([H])([H])[H])/C1=N\S(=O)(=O)C([H])([H])[H])([H])([H])[H],2.572023165
C(OC1=C([H])C([H])=C([H])C(=O)C1=O)([H])([H])[H],2.666676675
C(c1c([H])c2c(c([H])c1C([H])([H])[H])C(=O)C(=O)C([H])=C2C([H])([H])[H])([H])([H])[H],2.356719237
O(c1c([H])c2c([H])c3c([H])c([H])c([H])c([H])c3c([H])c2c([H])c1O[H])[H],3.47
C(S(=O)(=O)/N=C1C(=N\S(=O)(=O)C([H])([H])[H])\C(N([H])[H])=C(N([H])[H])c2c([H])c3c(c([H])c2\1)c([H])c([H])c(N([H])[H])c3N([H])[H])([H])([H])[H],2.245061868
c1([H])c([H])c([H])c([H])c2c1c(=O)c(=O)c1c(=O)c(=O)c3c(c2=1)c([H])c([H])c([H])c3[H],2.935638507
C(S(=O)(=O)/N=C1\C(C([H])([H])[H])=C([H])/C(=N\S(=O)(=O)C([H])([H])[H])c2c1c([H])c1c(c2[H])c([H])c([H])c([H])c1[H])([H])([H])[H],2.597460382
N(c1c([H])c([H])c([H])c2c1c1c(c3c2C(=O)C([H])=C([H])C3=O)c([H])c([H])c([H])c1N([H])[H])([H])[H],2.491200153
C(S(N([Li])c1c(N([Li])S(=O)(C([H])([H])[H])=O)c([H])c(N([Li])S(=O)(C([H])([H])[H])=O)c(N([Li])S(=O)(C([H])([H])[H])=O)c1[H])(=O)=O)([H])([H])[H],2.75
C(c1c(C([H])([H])[H])c([H])c(/N=C(/c2c(OC([H])([H])[H])c([H])c(/C(=N/C([H])([H])[H])[H])c(OC([H])([H])[H])c2[H])[H])c(C([H])([H])[H])c1[H])([H])([H])[H],0.74
O(C(c1c([H])c([H])c(N(N(c2c([H])c([H])c([H])c([H])c2[H])[H])[H])c([H])c1[H])=O)[H],1.36
C(S(=O)(=O)/N=C1\C(N([H])[H])=C(N([H])[H])c2c(c([H])c3c(c2[H])c([H])c(N([H])[H])c(N([H])[H])c3N([H])[H])\C1=N\S(=O)(=O)C([H])([H])[H])([H])([H])[H],2.195221467
O=C1C(C([H])([H])[H])=C(C([H])([H])[H])C(=O)c2c1c([H])c(C([H])([H])[H])c([H])c2[H],2.292543871
C(S(=O)(=O)/N=C1C(=N\S(=O)(=O)C([H])([H])[H])\C([H])=C(N([H])[H])c2c\1c(N([H])[H])c1c(c2[H])c([H])c(N([H])[H])c([H])c1[H])([H])([H])[H],2.130490989
c1([H])c([H])c([H])c([H])c2c1C(=O)C(=O)C(Cl)=C2[H],2.740813591
C(S(=O)(=O)/N=C1\C([H])=C([H])/C(=N\S(=O)(=O)C([H])([H])[H])c2c(C([H])([H])[H])c(C([H])([H])[H])c3c(c21)c(C([H])([H])[H])c([H])c([H])c3C([H])([H])[H])([H])([H])[H],2.554651408
O(c1c(O[H])c([H])c2c(=O)oc3c4c(c(=O)oc1c24)c([H])c(O[H])c3O[H])[H],1.8
C(n1c([H])nc2c1c(=O)n(C([H])([H])[H])c(=O)n2C([H])([H])[H])([H])([H])[H],2.5
N#Cc1c(C#N)c(C#N)c(C#N)c2c1c1c(c(C#N)c2[H])=C(C#N)C(=N/S(=O)(=O)C([H])([H])[H])/C(=N/S(=O)(=O)C([H])([H])[H])C=1[H],3.992784782
C(S(=O)(=O)/N=C1\C(OC([H])([H])[H])=C(OC([H])([H])[H])/C(=N\S(=O)(=O)C([H])([H])[H])c2c(OC([H])([H])[H])c3c(c([H])c21)c(OC([H])([H])[H])c([H])c(OC([H])([H])[H])c3OC([H])([H])[H])([H])([H])[H],2.364802912
C(c1c([H])c([H])c([H])c([H])c1N1c2c([H])c([H])c([H])c([H])c2N(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c21)([H])([H])[H],3.97
O(c1c([H])c(N(c2c([H])c([H])c(N(c3c(O[H])c4c([H])c([H])c([H])c([H])c4c(O[H])c3[H])[H])c([H])c2[H])[H])c(O[H])c2c1c([H])c([H])c([H])c2[H])[H],2.5
C(Oc1c([H])c([H])c(OC([H])([H])[H])c2c1=C([H])C(=O)C(=O)C=2[H])([H])([H])[H],2.857861795
O(c1c(O[H])c2c(c3nc([H])c([H])c([H])c13)nc([H])c([H])c2[H])[H],2.73
C(c1c([H])c([H])c2c(c1[H])Sc1c(c([H])c([H])c(-c3c([H])c4c(c([H])c3[H])-c3c(c([H])c(C([H])([H])[H])c([H])c3[H])C4(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])c1[H])N2c1c([H])c([H])c(OC(C(C(C([H])([H])[H])([H])[H])(C(C([H])([H])[H])([H])[H])[H])([H])[H])c([H])c1[H])([H])([H])[H],3.7
n1(-c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2c2c1c([H])c([H])c([H])c2[H],4.0
O=c1c(=O)c2c([H])c([H])c([H])c3c2-c2c(c([H])c([H])c([H])c12)c(=O)c3=O,2.59
C1([H])=C([H])SC(=C2SC3=C(S2)SC(=C2SC4=C(SC(=C5SC([H])=C([H])S5)S4)S2)S3)S1,3.3
C(c1c([H])c(C([H])([H])[H])c(C([H])([H])[H])c2c([H])c(C([H])([H])[H])c3c(c12)C(=N/S(=O)(=O)C([H])([H])[H])/C(=N/S(=O)(=O)C([H])([H])[H])C(C([H])([H])[H])=C3C([H])([H])[H])([H])([H])[H],2.421054318
O=c1c(Cl)c(Cl)c(=O)c2c1c([H])c1c(c2[H])c([H])c2c(c1[H])c(=O)c(Cl)c(Cl)c2=O,3.075483334
N#Cc1c([H])c2c(c(C#N)c1C#N)c([H])c(C#N)c1c2/C(=N/S(=O)(=O)C([H])([H])[H])C(C#N)=C(C#N)/C1=N\S(=O)(=O)C([H])([H])[H],3.744823621
N(c1c(N([H])[H])c([H])c(N([H])[H])c2c1-c1c(c([H])c(N([H])[H])c(N([H])[H])c1N([H])[H])C(=N/S(=O)(=O)C([H])([H])[H])/C2=N/S(=O)(=O)C([H])([H])[H])([H])[H],1.946433079
c1(SSc2c([H])c([H])c([H])c([H])c2[H])c([H])c([H])c([H])c([H])c1[H],2.2
O=C1C(Cl)=C(N(c2c([H])c([H])c([H])c([H])c2[H])[H])C(=O)C(Cl)=C1N(c1c([H])c([H])c([H])c([H])c1[H])[H],2.5
C(Oc1c([H])c([H])c([H])c2c1C(=O)c1c(c([H])c([H])c([H])c1OC([H])([H])[H])C2=O)([H])([H])[H],2.016685583
