Voltage,SMILES,smiles,Voltage_Binned
3.7,O=S(C(F)(F)F)(N([Li])C1=C(C=C(N([Li])S(C(F)(F)F)(=O)=O)C(F)=C1)F)=O,[Li]N(c1cc(F)c(N([Li])S(=O)(=O)C(F)(F)F)cc1F)S(=O)(=O)C(F)(F)F,high
2.507100318,Nc1ccc(N)c(c1c23)c(=O)c(=O)c2c(=O)c4c(c3=O)c(N)ccc4N,Nc1ccc(N)c2c(=O)c3c4c(N)ccc(N)c4c(=O)c(=O)c=3c(=O)c12,low
3.3,O=C1C(C#N)=C(C#N)C(C(Cl)=C1Cl)=O,N#CC1=C(C#N)C(=O)C(Cl)=C(Cl)C1=O,medium
2.1,O=C1C2=CC3=C(C=C2C(=O)C2=C1C=CC=C2)C(=O)C1=C(C=CC=C1)C3=O,O=c1c2ccccc2c(=O)c2cc3c(=O)c4ccccc4c(=O)c3cc12,low
2.08,[Li]OC1=C2C(C=CC=C2)=C(O[Li])C3=CC=CC=C31,[Li]Oc1c2ccccc2c(O[Li])c2ccccc12,low
2.807162315,COC1=CC(OC)=CC(=N/S(=O)(=O)C)/C1=N/S(=O)(=O)C,COC1=CC(=N/S(C)(=O)=O)/C(=N/S(C)(=O)=O)C(OC)=C1,medium
2.13,OC(N(CC(O[Li])=O)C(O)=C(C=C1)C2=C3C1=C4C=C5)=C2C=CC3=C(C=CC6=C(O)N7CC(O[Li])=O)C4=C6C5=C7O,[Li]OC(=O)CN1C(O)=c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)=C1O)c64)=C(O)N(CC(=O)O[Li])C=5O,low
3.339068993,N#Cc(c1)c(C#N)cc(c12)C=C(C#N)/C(=N\S(=O)(=O)C)C\2=N\S(=O)(=O)C,CS(=O)(=O)/N=C1\C(C#N)=Cc2cc(C#N)c(C#N)cc2\C1=N/S(C)(=O)=O,medium
3.57,CC(CC)C1=CC=CC=C1CN2C3=CC=CC=C3OC4=C2C=CC=C4,CCC(C)c1ccccc1CN1c2ccccc2Oc2ccccc21,high
2.8,O=N1=C(C=CC=C1)SSC2=N(C=CC=C2)=O,[O-][n+]1ccccc1SSc1cccc[n+]1[O-],medium
2.1,O=C(C(SC)=C1O)C(O)=C(C1=O)C,CSC1=C(O)C(=O)C(C)=C(O)C1=O,low
3.63,CC#CC1=CC(C#CC)=CC(C#CC2=CC3=C(N(C)C4=CC=C(C)C=C4S3)C=C2)=C1,CC#Cc1cc(C#CC)cc(C#Cc2ccc3c(c2)Sc2cc(C)ccc2N3C)c1,high
1.908587464,CS(=O)(=O)\N=C\1C(N)=C(N)C(=N/S(=O)(=O)C)\c(c2N)c1c(N)c(c23)cc(N)c(N)c3N,CS(=O)(=O)/N=C1\C(N)=C(N)/C(=N\S(C)(=O)=O)c2c1c(N)c1cc(N)c(N)c(N)c1c2N,low
1.87,C1=CC=C2N=C3C=CC=CC3=NC2=C1,c1ccc2nc3ccccc3nc2c1,very low
2.705565031,Nc1cccc(c1=2)=C(N)C(=O)C(=O)C2N,NC1=c2cccc(N)c2=C(N)C(=O)C1=O,medium
3.4,N#CC1=C(NS(C)(=O)=O)C=C(C#N)C(NS(C)(=O)=O)=C1,CS(=O)(=O)Nc1cc(C#N)c(NS(C)(=O)=O)cc1C#N,medium
4.0,O=C(C1C(CC(C1C(OCC2=CC=C3SC4=C(C=CC=C4)SC3=C2)=O)C=C)C=C)OCC5=CC=C6SC7=C(C=CC=C7)SC6=C5,C=CC1CC(C=C)C(C(=O)OCc2ccc3c(c2)Sc2ccccc2S3)C1C(=O)OCc1ccc2c(c1)Sc1ccccc1S2,high
2.337090822,c1cc(C)c(C)c(c1c23)/C(=N\S(=O)(=O)C)C(=N/S(=O)(=O)C)\c3cccc2C,Cc1ccc2c(c1C)C(=N\S(C)(=O)=O)/C(=N\S(C)(=O)=O)c1cccc(C)c1-2,low
2.5,CC1=CC=C(SC)C2=C(O)C3C(O[Li])=CC=C(O[Li])C3C(O)=C12,[Li]OC1=CC=C(O[Li])C2C(O)=c3c(SC)ccc(C)c3=C(O)C12,low
2.3,NC1=CC(O[Li])=C(N)C=C1O[Li],[Li]Oc1cc(N)c(O[Li])cc1N,low
