SMILES,Voltage
C(N(C([H])([H])[H])c1c([H])c([H])c(N(N(c2c(C(O[Na])=O)c([H])c([H])c([H])c2[H])[Li])[Li])c([H])c1[H])([H])([H])[H],1.6
C(OC1=C(OC([H])([H])[H])C(=O)c2c(c([H])c([H])c([H])c2[H])C1=O)([H])([H])[H],2.287946233
C(C(C#N)(/N=N/C(C([H])([H])[H])(C#N)C([H])([H])[H])C([H])([H])[H])([H])([H])[H],1.0
C(Oc1c([H])c([H])c([H])c2c1C(=O)c1c(c([H])c([H])c([H])c1OC([H])([H])[H])C2=O)([H])([H])[H],2.016685583
c1([H])c(N([H])[H])c([H])c([H])c2c1C(=O)C(N([H])[H])=C(N([H])[H])C2=O,1.927223207
O(c1c(Cl)c(C(C(C(C(C(F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)c(O[H])c(Cl)c1C(C(C(C(C(F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)[H],3.1
N(c1c([H])c([H])c(N([H])[H])c2c(=O)c3c(=O)c4c(c(=O)c=3c(=O)c12)c(N([H])[H])c([H])c([H])c4N([H])[H])([H])[H],2.369745879
O=C1N([Li])C(O[Li])=c2c1c([H])c1c(c2[H])C(=O)N([Li])C=1O[Li],1.75
N#Cc1c(C#N)c([H])c(C#N)c2c1c(C#N)c1c(c2C#N)C([H])=C(C#N)C(=N\S(=O)(=O)C([H])([H])[H])/C1=N\S(=O)(=O)C([H])([H])[H],3.662928191
C(c1c([H])c(C([H])([H])[H])c([H])c2c1C(=O)c1c(c([H])c([H])c([H])c1[H])C2=O)([H])([H])[H],2.171281165
O=c1c(Cl)c([H])c(=O)c2c(=O)c([H])c(Cl)c(=O)c1=2,3.591568215
O(C(C1=C(C(O[H])(O[H])[H])SC(=C2SC(C(O[H])(O[H])[H])=C(C(O[H])(O[H])[H])S2)S1)(O[H])[H])[H],1.2
[O]N(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c1c([H])c([H])c(OP(C([H])([H])[H])(Oc2c([H])c([H])c(N(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[O])c([H])c2[H])=NC([H])([H])[H])c([H])c1[H],3.62
C(OC1=C(OC([H])([H])[H])C(=N\S(=O)(=O)C([H])([H])[H])/C(=N\S(=O)(=O)C([H])([H])[H])c2c(OC([H])([H])[H])c3c(c([H])c21)c(OC([H])([H])[H])c([H])c([H])c3OC([H])([H])[H])([H])([H])[H],2.314135285
C(C(C(C(OC(c1c([H])c2c(c([H])c1[H])C(=O)c1c(c([H])c([H])c([H])c1[H])C2=O)=O)([H])[H])([H])[H])(C(OC(C(C(OC(C(C(C(OC(c1c([H])c2c(c([H])c1[H])C(=O)c1c(c([H])c([H])c([H])c1[H])C2=O)=O)([H])[H])([H])[H])(C([H])([H])[H])C(C(OC(c1c([H])c2c(c([H])c1[H])C(=O)c1c(c([H])c([H])c([H])c1[H])C2=O)=O)([H])[H])([H])[H])=O)([H])[H])(N1C(=O)C2([H])C(C(=C([H])[H])[H])([H])C([H])([H])C(C(=C([H])[H])[H])([H])C2([H])C1=O)C([H])([H])[H])([H])[H])=O)C(C(OC(c1c([H])c2c(c([H])c1[H])C(=O)c1c(c([H])c([H])c([H])c1[H])C2=O)=O)([H])[H])([H])[H])([H])([H])[H],2.59
